Lead Number,Lead Origin,Lead Source,Notes,Lead Stage,Engagement Score,TotalVisits,Page Views Per Visit,Average Time Per Visit,Last Activity,Last Activity Date,Lead Conversion Date,Cityold,Specialization,Entrance Test,What is your current occupation
657183,Landing Page Submission,Direct Traffic,,Not Interested,0,3,3,101,Email Opened,28-07-2016 8:33,28-07-2016 5:47,Mumbai,E-Business,MAT,Working Professional
657174,API,Google,,Qualified,90,7,1.75,201.25,Email Bounced,1/8/16 6:47,28-07-2016 6:48,Mumbai,Select Specialization,MAT,Unemployed
657148,API,Organic Search,,Qualified,20,3,3,246.5,Olark Chat Conversation,28-07-2016 5:32,28-07-2016 5:28,Bangalore,Select Specialization,MAT,Unemployed
657142,API,Google,,Unreachable,0,5,1.67,399.5,Email Opened,8/8/16 17:59,28-07-2016 8:41,Mumbai,,,
657139,Landing Page Submission,Google,,Qualified,40,5,2.5,239.75,Email Opened,4/8/16 7:38,28-07-2016 5:14,Pune,Marketing Management,MAT,Unemployed
657138,API,Google,,Unreachable,0,7,3.5,199,Email Opened,4/8/16 4:24,28-07-2016 5:20,Pune,,,
657123,Landing Page Submission,Google,any banking course for 12th pass,Unreachable,0,4,4,194.67,Page Visited on Website,28-07-2016 7:16,28-07-2016 4:54,Colaba,"Banking, Investment And Insurance",MAT,Unemployed
657117,API,Referral Sites,,Unreachable,0,6,3,163.25,Email Opened,8/8/16 9:13,28-07-2016 5:03,London,Select Specialization,MAT,Unemployed
657101,Landing Page Submission,Organic Search,,Unreachable,0,6,6,62.6,Unreachable,30-07-2016 11:45,28-07-2016 4:39,Mumbai,Supply Chain Management,MAT,Unemployed
657092,API,Organic Search,,Unreachable,0,11,5.5,176.22,Email Link Clicked,7/8/16 13:24,28-07-2016 13:11,Mumbai,,,
657077,API,Google,,Not Interested,0,2,2,321,Email Link Clicked,29-07-2016 2:17,28-07-2016 4:23,Thane,Select Specialization,MAT,Unemployed
657073,Landing Page Submission,Google,,Not Eligible,0,3,3,262,Form Submitted on Website,28-07-2016 4:18,28-07-2016 4:16,Thane,Human Resource Management,MAT,Unemployed
657045,API,Google,My result for bachelor  of accounting  and  finance  are just out on yesterday  n currently  i m working  with  tax consultancy . Do u provide any pg course  in taxation plz let me know,Qualified,80,10,5,94.5,Olark Chat Conversation,31-07-2016 6:20,27-07-2016 14:09,Mumbai,Finance Management,MAT,Unemployed
657038,API,Referral Sites,,Qualified,80,5,5,96,Email Opened,29-07-2016 12:43,27-07-2016 14:01,Bangalore,Human Resource Management,MAT,Working Professional
657033,API,Google,,Qualified,40,4,4,142.33,Page Visited on Website,28-07-2016 14:09,27-07-2016 13:59,,Supply Chain Management,MAT,Working Professional
657032,Landing Page Submission,Referral Sites,,Qualified,140,6,6,66.6,Email Opened,6/8/16 3:15,27-07-2016 14:00,Kalyan,Operations Management,MAT,Unemployed
657031,Landing Page Submission,Direct Traffic,"I am a bms student from hinduja college,mumbai i stay in alibag city and want to apply for distance learning in marketing management",Not Interested,0,4,4,51,Email Bounced,27-07-2016 14:04,27-07-2016 13:58,Alibag,Marketing Management,MAT,Unemployed
657014,API,Organic Search,,Unreachable,0,8,8,83.57,Email Bounced,28-07-2016 12:50,27-07-2016 13:45,,,,
657010,API,Olark Chat,,Junk Lead,0,0,0,0,Email Opened,28-07-2016 13:59,,,,,
657002,Landing Page Submission,Direct Traffic,,Unreachable,0,6,3,150.75,Page Visited on Website,29-07-2016 21:39,29-07-2016 21:38,Pune,Healthcare Management,MAT,Unemployed
656976,Landing Page Submission,Google,About PGDM procedure,Unreachable,0,5,5,107.25,Email Opened,6/8/16 14:58,27-07-2016 13:08,Mumbai,Finance Management,MAT,Unemployed
656962,API,Google,,Not Interested,0,6,2,498.75,Page Visited on Website,29-07-2016 11:57,29-07-2016 5:39,Mumbai,Select Specialization,MAT,Unemployed
656948,API,Organic Search,,Qualified,70,7,2.33,234.83,Email Opened,4/8/16 8:43,30-07-2016 5:07,,Human Resource Management,MAT,Unemployed
656945,API,Olark Chat,,Not Interested,0,0,0,0,Email Opened,1/8/16 10:31,,,Healthcare Management,MAT,Unemployed
656939,Landing Page Submission,Google,hi,Unreachable,0,8,2,320,Olark Chat Conversation,29-07-2016 10:34,27-07-2016 12:40,Mumbai,Finance Management,,
656938,Landing Page Submission,Direct Traffic,When will MBA programme 2017-19 entrance process start?,Not Interested,0,4,4,92.67,Olark Chat Conversation,27-07-2016 12:35,27-07-2016 12:33,Vadodara,International Business,MAT,Unemployed
656911,Landing Page Submission,Direct Traffic,please call want more details about this course,Qualified,50,7,7,49,Email Opened,29-07-2016 13:32,27-07-2016 12:14,Mumbai,Marketing Management,MAT,Unemployed
656900,API,Olark Chat,,Not Interested,0,0,0,0,Olark Chat Conversation,27-07-2016 12:04,,,Select Specialization,MAT,Unemployed
656896,API,Referral Sites,,Unreachable,0,6,3,348,Email Link Clicked,4/8/16 17:18,27-07-2016 12:21,Mumbai,,,
656887,API,Olark Chat,,Junk Lead,0,0,0,0,Email Opened,28-07-2016 12:24,,,,,
656880,Lead Add Form,Reference,,Qualified,10,0,0,0,Email Opened,27-07-2016 11:50,,,"Banking, Investment And Insurance",MAT,Unemployed
656875,API,Google,,Unreachable,0,3,3,291.5,Email Link Clicked,30-07-2016 3:03,27-07-2016 11:51,Mumbai,Select Specialization,MAT,Unemployed
656859,Landing Page Submission,Google,Interested in knowing more about the course and about the admission process,Unreachable,0,7,2.33,202.75,Email Opened,6/8/16 12:17,27-07-2016 12:00,Mumbai,Media and Advertising,MAT,Unemployed
656852,API,Olark Chat,,Not Eligible,0,0,0,0,Olark Chat Conversation,27-07-2016 11:31,,,Select Specialization,MAT,Unemployed
656833,API,Google,,Not Eligible,0,3,1.5,588,Email Opened,27-07-2016 12:00,27-07-2016 11:48,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
656795,API,Direct Traffic,,Unreachable,0,1,1,0,Converted to Lead,27-07-2016 11:09,27-07-2016 11:09,Mumbai,,,
656789,API,Google,,Unreachable,0,4,2,446.33,Email Opened,29-07-2016 5:42,28-07-2016 7:22,Pune,,,
656778,API,Referral Sites,,Unreachable,0,4,4,273.33,Olark Chat Conversation,27-07-2016 11:07,27-07-2016 11:03,Bhavnagar,,,
656776,Landing Page Submission,Google,,Unreachable,0,7,2.33,204,Email Opened,30-07-2016 10:56,28-07-2016 12:22,Pune,Business Administration,,
656754,API,Olark Chat,,Unreachable,0,0,0,0,Email Opened,2/8/16 13:21,,,Select Specialization,MAT,Unemployed
656743,Landing Page Submission,Organic Search,,Qualified,290,21,2.63,157.62,Email Opened,8/8/16 8:28,27-07-2016 12:23,,Operations Management,MAT,Unemployed
656729,API,Referral Sites,,Unreachable,0,4,4,478.67,Email Opened,8/8/16 5:13,27-07-2016 10:53,Mumbai,,,
656723,Landing Page Submission,Google,MBA in Finance,Not Interested,0,2,2,38,Form Submitted on Website,27-07-2016 10:28,27-07-2016 10:28,,Finance Management,MAT,Unemployed
656715,Lead Add Form,Reference,,Qualified,0,,,,,,,,Media and Advertising,MAT,Unemployed
656698,API,Olark Chat,,Unreachable,0,0,0,0,Olark Chat Conversation,27-07-2016 10:15,,,Select Specialization,MAT,Unemployed
656685,Lead Add Form,Google,,Qualified,30,0,0,0,Email Opened,30-07-2016 5:53,,,Supply Chain Management,MAT,Unemployed
656682,API,Olark Chat,,Not Interested,0,0,0,0,Olark Chat Conversation,27-07-2016 10:03,,,Select Specialization,MAT,Unemployed
656681,API,Organic Search,,Unreachable,0,2,2,462,Olark Chat Conversation,27-07-2016 10:10,27-07-2016 10:06,Pathankot,,,
656668,Lead Add Form,Reference,,Closed,0,0,0,0,Email Link Clicked,6/8/16 7:30,,,Human Resource Management,MAT,Unemployed
656665,API,Organic Search,,Unreachable,0,3,3,91,Converted to Lead,27-07-2016 9:54,27-07-2016 9:54,Bangalore,,,
656660,API,Google,,Unreachable,0,2,2,751,Email Opened,2/8/16 13:16,27-07-2016 9:55,Pune,,,
656644,Landing Page Submission,Referral Sites,,Qualified,160,5,2.5,112.67,Email Opened,1/8/16 13:38,27-07-2016 9:33,Manama,International Business,MAT,Working Professional
656621,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,24.5,Email Opened,8/8/16 7:33,27-07-2016 9:10,Mumbai,Human Resource Management,MAT,Unemployed
656594,API,Olark Chat,,Qualified,20,0,0,0,Unreachable,28-07-2016 11:13,,,Finance Management,MAT,Unemployed
656589,Landing Page Submission,Google,"i want to take admission  MBA   in Operation management  , please suggest",Unreachable,0,4,4,126,Email Opened,8/8/16 13:20,27-07-2016 8:52,Madgaon,Operations Management,,
656586,API,Olark Chat,,Not Interested,0,0,0,0,Olark Chat Conversation,27-07-2016 9:12,,,Select Specialization,MAT,Unemployed
656580,API,Referral Sites,,Unreachable,0,3,1.5,26,Email Opened,8/8/16 0:59,27-07-2016 9:07,Mumbai,,,
656576,API,Organic Search,,Not Eligible,0,4,4,233,Olark Chat Conversation,27-07-2016 8:59,27-07-2016 8:55,,,,
656571,Landing Page Submission,Organic Search,,Unreachable,0,5,5,103.25,Email Opened,2/8/16 3:59,27-07-2016 8:43,Mumbai,Operations Management,,
656563,Lead Add Form,Reference,,Qualified,0,,,,,,,,Healthcare Management,MAT,Working Professional
656560,API,Referral Sites,,Unreachable,0,10,5,324.89,Page Visited on Website,27-07-2016 11:47,27-07-2016 8:47,Chennai,,,
656559,API,Olark Chat,,Unreachable,0,0,0,0,Email Opened,2/8/16 10:46,,,,,
656527,API,Referral Sites,,Unreachable,0,5,5,385.5,Page Visited on Website,27-07-2016 8:35,27-07-2016 8:28,Mumbai,,,
656526,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,28-07-2016 12:24,,,,,
656516,Lead Add Form,Reference,,Qualified,0,,,,,,,,Supply Chain Management,MAT,Unemployed
656511,Landing Page Submission,Google,,Qualified,20,4,4,61.33,Email Opened,8/8/16 15:26,27-07-2016 7:56,Mumbai,Finance Management,MAT,Unemployed
656504,Landing Page Submission,Google,,Unreachable,0,5,2.5,150.75,Email Link Clicked,28-07-2016 8:20,27-07-2016 7:54,Mumbai,Rural and Agribusiness,,
656493,API,Referral Sites,,Unreachable,0,5,1.67,319.25,Email Opened,5/8/16 11:53,27-07-2016 8:20,Mumbai,,,
656492,Lead Add Form,Welingak Website,,Closed,0,0,0,0,Email Opened,27-07-2016 17:38,,,Human Resource Management,MAT,Unemployed
656483,Landing Page Submission,Organic Search,Details of Course,Qualified,10,4,4,72,Had a Phone Conversation,28-07-2016 11:02,27-07-2016 7:43,BOISAR,Human Resource Management,MAT,Unemployed
656481,API,Referral Sites,,Not Interested,0,10,10,168.56,Email Opened,28-07-2016 15:12,27-07-2016 8:04,Bhavnagar,Select Specialization,MAT,Unemployed
656478,Landing Page Submission,Google,wanted to know about the process of admissions and the fees of the college,Unreachable,0,4,4,88.67,Page Visited on Website,27-07-2016 7:47,27-07-2016 7:41,Mumbai,Human Resource Management,,
656469,API,Organic Search,,Qualified,30,3,1.5,107,Page Visited on Website,27-07-2016 9:34,27-07-2016 8:01,Mumbai,,,
656463,API,Google,,Unreachable,0,2,2,622.5,Email Opened,7/8/16 13:33,27-07-2016 7:35,New Delhi,,,
656457,Landing Page Submission,Google,"Hello, Need information regarding the MBA specialized with Supply Chain Mgt.",Qualified,0,1,1,0,Converted to Lead,27-07-2016 7:25,27-07-2016 7:25,Mumbai,Supply Chain Management,MAT,Unemployed
656448,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,27-07-2016 7:26,,,,,
656413,API,Olark Chat,,Unreachable,0,0,0,0,Olark Chat Conversation,27-07-2016 7:05,,,,,
656412,Landing Page Submission,Organic Search,,Unreachable,0,8,8,224.57,Email Opened,7/8/16 16:34,27-07-2016 7:07,Bhopal,E-COMMERCE,,
656402,API,Olark Chat,,Unreachable,0,0,0,0,Email Opened,5/8/16 10:45,,,,,
656400,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,354.33,Email Opened,3/8/16 13:53,27-07-2016 6:55,Mumbai,IT Projects Management,MAT,Unemployed
656399,Landing Page Submission,Google,interested in Part time MBA program.,Qualified,70,6,2,71,Email Opened,1/8/16 10:31,27-07-2016 6:57,,Marketing Management,MAT,Unemployed
656385,API,Referral Sites,,Unreachable,0,4,4,382.25,Email Opened,4/8/16 11:07,27-07-2016 6:53,Gurgaon,,,
656382,Landing Page Submission,Google,,Unreachable,0,15,15,151.21,Unreachable,28-07-2016 10:56,27-07-2016 7:05,Thane,"Banking, Investment And Insurance",MAT,Unemployed
656381,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,455.33,Email Opened,7/8/16 17:55,27-07-2016 6:50,,Human Resource Management,,
656378,API,Google,,Unreachable,0,7,3.5,189.5,Email Opened,5/8/16 10:31,27-07-2016 7:17,Mumbai,,,
656362,API,Google,,Unreachable,0,2,2,809,Email Opened,29-07-2016 10:46,27-07-2016 6:50,,,,
656359,API,Olark Chat,,Not Eligible,0,0,0,0,Olark Chat Conversation,27-07-2016 6:34,,,Select Specialization,MAT,Unemployed
656356,Landing Page Submission,Google,,Closed,0,9,2.25,277.33,Email Opened,1/8/16 7:15,27-07-2016 7:06,Mumbai,IT Projects Management,MAT,Working Professional
656354,API,Referral Sites,,Unreachable,0,8,2.67,196,Email Opened,7/8/16 23:41,27-07-2016 7:51,Delhi,,,
656345,Landing Page Submission,Google,,Unreachable,0,11,3.67,137.88,Page Visited on Website,5/8/16 8:23,27-07-2016 6:32,Ankleshwar,Marketing Management,,
656340,API,Olark Chat,,Junk Lead,0,0,0,0,Email Opened,2/8/16 13:22,,,,,
656331,Landing Page Submission,Google,,Qualified,80,5,5,366.75,Had a Phone Conversation,28-07-2016 10:51,27-07-2016 6:28,New Delhi,Marketing Management,MAT,Unemployed
656327,API,Google,,Unreachable,0,2,1,1025,Email Opened,1/8/16 12:42,27-07-2016 6:34,Mumbai,,,
656276,API,Olark Chat,,Unreachable,0,0,0,0,Unreachable,3/8/16 11:31,,,,,
656271,API,Olark Chat,,Junk Lead,0,0,0,0,Email Opened,27-07-2016 8:18,,,,,
656265,Landing Page Submission,Direct Traffic,i reside in Indore. i have passed Bcom in 2015 from HR college with a score of 48%. i want to do MBA/PG courses( part time or distance learning is also fine)...kindly advice the available courses,Qualified,40,4,4,487.5,Unsubscribed,1/8/16 5:07,27-07-2016 5:44,Mumbai,Business Administration,MAT,Unemployed
656259,Landing Page Submission,Organic Search,"Hello, I self rashmi my query is can i apply for the HRM bcoz im failed in TYBCOM [Accounting Finance] VI sem last year. I have 2 year mark sheets & also have Third Year V sem result passed with B grade.",Qualified,90,5,5,209.75,Email Opened,8/8/16 7:29,27-07-2016 5:32,Mumbai,Human Resource Management,MAT,Unemployed
656233,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,27-07-2016 5:16,,,Select Specialization,MAT,Unemployed
656231,API,Google,,Unreachable,0,2,2,502.5,Email Opened,4/8/16 10:38,27-07-2016 5:19,Mumbai,Select Specialization,MAT,Unemployed
656213,API,Organic Search,,Qualified,50,5,2.5,430.75,Email Opened,27-07-2016 5:55,27-07-2016 5:37,Ulhasnagar,Select Specialization,MAT,Unemployed
656184,API,Referral Sites,,Qualified,50,3,1.5,462,Had a Phone Conversation,1/8/16 7:20,27-07-2016 5:08,Navsari,Select Specialization,MAT,Unemployed
656176,Landing Page Submission,Google,"Dear Sir/Madam,I would like to know more about these programs. Kindly get in touch.Regards,Karan.",Qualified,220,10,1.43,322.75,Email Opened,5/8/16 8:16,27-07-2016 4:16,Thane,Marketing Management,MAT,Unemployed
656126,API,Organic Search,,Qualified,70,4,2,118.5,Email Opened,6/8/16 7:04,27-07-2016 5:22,Thane,Select Specialization,MAT,Unemployed
656120,Landing Page Submission,Google,I would like to request you please guide me a Post Graduate Diploma Course in Speciality Sales & Marketing stream,Unreachable,0,2,2,4,Form Submitted on Website,27-07-2016 2:54,27-07-2016 2:53,Mumbai,Marketing Management,,
656096,API,Organic Search,,Unreachable,0,2,2,233,Email Opened,28-07-2016 3:07,27-07-2016 1:36,Mumbai,Select Specialization,MAT,Unemployed
656078,API,Organic Search,,Unreachable,0,2,2,338,Email Opened,4/8/16 13:15,26-07-2016 23:38,,,,
656072,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,2,Unsubscribed,2/8/16 5:59,26-07-2016 22:55,Knoxville,Media and Advertising,MAT,Unemployed
656049,API,Referral Sites,,Unreachable,0,1,1,0,Converted to Lead,26-07-2016 20:29,26-07-2016 20:29,Mumbai,Select Specialization,MAT,Unemployed
656036,API,Organic Search,,Unreachable,0,6,3,202,Email Opened,5/8/16 6:28,26-07-2016 19:53,Guwahati,Select Specialization,MAT,Unemployed
656031,API,Organic Search,,Unreachable,0,2,2,174,Converted to Lead,26-07-2016 19:40,26-07-2016 19:40,Mumbai,Select Specialization,MAT,Unemployed
656030,API,Referral Sites,,Unreachable,0,9,9,109.75,Email Opened,4/8/16 9:22,26-07-2016 19:36,Thane,Select Specialization,MAT,Unemployed
656015,API,Organic Search,,Unreachable,0,7,3.5,48.2,Email Bounced,3/8/16 6:47,26-07-2016 18:52,Delhi,Select Specialization,MAT,Unemployed
655953,Landing Page Submission,Google,"Fee structure and no.of year,degree name",Unreachable,0,7,7,88.17,Email Opened,31-07-2016 4:57,26-07-2016 17:36,Mumbai,Marketing Management,MAT,Unemployed
655949,Landing Page Submission,Google,Correspondence mba in banking and finance. Fees and class timings and days,Unreachable,0,3,3,133.67,Email Opened,27-07-2016 2:52,26-07-2016 17:32,Mumbai,"Banking, Investment And Insurance",MAT,Unemployed
655940,Landing Page Submission,Referral Sites,,Unreachable,0,7,3.5,47.2,Email Opened,8/8/16 21:30,26-07-2016 17:26,Singapore,Operations Management,,
655936,API,Google,,Unreachable,0,2,2,85,Unreachable,2/8/16 9:32,26-07-2016 17:20,Mumbai,Media and Advertising,MAT,Unemployed
655916,Landing Page Submission,Direct Traffic,,Unreachable,0,3,3,47.5,Email Opened,7/8/16 18:59,26-07-2016 16:53,Kalyan,Marketing Management,MAT,Unemployed
655899,Landing Page Submission,Direct Traffic,,Qualified,20,2,2,1,Email Opened,4/8/16 7:10,26-07-2016 16:35,Mumbai,Finance Management,MAT,Unemployed
655889,Landing Page Submission,Organic Search,,Not Interested,0,13,6.5,92.91,Email Opened,6/8/16 8:56,26-07-2016 16:30,Mumbai,Hospitality Management,MAT,Unemployed
655886,API,Referral Sites,,Not Interested,0,11,3.67,138.33,Email Opened,30-07-2016 13:06,30-07-2016 12:46,Hazaribagh,Select Specialization,MAT,Unemployed
655798,Landing Page Submission,Organic Search,,Unreachable,0,5,5,55.5,Unreachable,27-07-2016 9:10,26-07-2016 14:56,London,Travel and Tourism,MAT,Unemployed
655793,Landing Page Submission,Google,If i want to take part time Addmission when would be the joining dates which batch can i join   let me know please,Qualified,0,2,2,10,SMS Sent,27-07-2016 5:32,26-07-2016 14:53,Mumbai,Select Specialization,MAT,Unemployed
655782,API,Organic Search,,Unreachable,0,11,11,62.4,Page Visited on Website,26-07-2016 14:54,26-07-2016 14:50,Thane,Services Excellence,,
655777,API,Google,,Unreachable,0,9,3,284.29,Page Visited on Website,31-07-2016 13:13,26-07-2016 14:44,Thane,Operations Management,,
655772,API,Organic Search,,Unreachable,0,11,11,82.6,Page Visited on Website,28-07-2016 6:26,26-07-2016 14:37,Pune,Operations Management,MAT,Unemployed
655766,Landing Page Submission,Google,Courses available in SomeSchool college,Qualified,40,8,8,169.29,Email Opened,27-07-2016 12:32,26-07-2016 14:47,Mumbai,Marketing Management,MAT,Unemployed
655736,Landing Page Submission,Direct Traffic,,Unreachable,0,6,3,418.17,Email Opened,5/8/16 12:45,26-07-2016 14:02,,Operations Management,,
655723,API,Organic Search,,Unreachable,0,7,3.5,84.2,Unreachable,30-07-2016 10:43,26-07-2016 13:52,Chennai,Select Specialization,MAT,Unemployed
655719,Landing Page Submission,Direct Traffic,,Unreachable,0,2,2,31,Email Opened,2/8/16 11:05,26-07-2016 13:41,Doha,Human Resource Management,MAT,Unemployed
655694,API,Organic Search,,Unreachable,0,3,3,68.5,Email Opened,5/8/16 12:38,26-07-2016 13:23,Mumbai,Select Specialization,MAT,Unemployed
655685,Landing Page Submission,Google,want to know about your pgdm program,Unreachable,0,4,4,183.33,Email Opened,3/8/16 8:10,26-07-2016 13:25,Mumbai,Marketing Management,MAT,Unemployed
655682,Landing Page Submission,Direct Traffic,,Junk Lead,0,3,3,57,Email Link Clicked,9/8/16 5:20,26-07-2016 13:17,Thane,Finance Management,MAT,Unemployed
655666,API,Olark Chat,,Not Interested,0,0,0,0,Olark Chat Conversation,26-07-2016 12:55,,,Select Specialization,MAT,Unemployed
655665,Landing Page Submission,Google,,Qualified,70,9,9,68.5,Page Visited on Website,26-07-2016 13:07,26-07-2016 13:01,Thane,E-Business,MAT,Unemployed
655661,Landing Page Submission,Organic Search,,Not Interested,0,5,2.5,149.33,Email Bounced,1/8/16 17:18,30-07-2016 17:18,Bhopal,Rural and Agribusiness,MAT,Unemployed
655658,API,Google,,Junk Lead,0,6,3,372,Email Opened,27-07-2016 5:05,26-07-2016 13:12,Mumbai,,,
655639,Landing Page Submission,Google,,Unreachable,0,4,4,131.67,Email Opened,30-07-2016 4:47,26-07-2016 12:46,Pune,Supply Chain Management,,
655628,API,Referral Sites,,Unreachable,0,3,3,179,Email Opened,27-07-2016 8:41,26-07-2016 12:36,Beawar,Select Specialization,MAT,Unemployed
655578,Landing Page Submission,Direct Traffic,Is the course suitable for me. What are the prospects.,Qualified,10,2,2,79,Email Opened,27-07-2016 10:34,26-07-2016 11:54,Bengaluru,E-Business,MAT,Unemployed
655569,API,Referral Sites,,Unreachable,0,3,1.5,447.5,Email Opened,5/8/16 11:06,26-07-2016 12:31,Gurgaon,,,
655557,Landing Page Submission,Google,,Unreachable,0,5,5,75.25,Unreachable,27-07-2016 11:39,26-07-2016 11:45,,Operations Management,MAT,Unemployed
655552,Lead Add Form,Reference,,Qualified,0,0,0,0,SMS Sent,26-07-2016 11:36,,,"Banking, Investment And Insurance",MAT,Working Professional
655541,Lead Add Form,Welingak Website,,Qualified,0,0,0,0,SMS Sent,26-07-2016 11:27,,,Select Specialization,MAT,Unemployed
655522,Lead Add Form,Reference,,Closed,0,0,0,0,Email Opened,27-07-2016 10:10,,,Operations Management,MAT,Working Professional
655520,Lead Add Form,Welingak Website,,Closed,0,0,0,0,Olark Chat Conversation,4/8/16 11:16,,,Select Specialization,MAT,Unemployed
655510,API,Organic Search,,Not Interested,0,3,3,146.5,Converted to Lead,26-07-2016 11:12,26-07-2016 11:12,Pune,Marketing Management,MAT,Unemployed
655497,Landing Page Submission,Direct Traffic,,Unreachable,0,8,4,252.5,Email Opened,5/8/16 12:11,26-07-2016 10:58,Mumbai,Business Administration,MAT,Unemployed
655496,Landing Page Submission,Google,,Qualified,10,4,4,64.33,SMS Sent,27-07-2016 5:32,26-07-2016 10:59,,IT Projects Management,MAT,Unemployed
655492,Landing Page Submission,Direct Traffic,,Unreachable,0,4,4,51,SMS Sent,26-07-2016 12:15,26-07-2016 10:55,Bengaluru,Operations Management,,
655457,Lead Add Form,Reference,,Interested,0,1,1,0,Page Visited on Website,26-07-2016 16:20,,,Marketing Management,MAT,Student
655450,API,Google,,Unreachable,0,2,2,998,Page Visited on Website,1/8/16 11:20,26-07-2016 10:45,Mumbai,,,
655437,API,Referral Sites,,Unreachable,0,2,2,412,Olark Chat Conversation,26-07-2016 10:33,26-07-2016 10:29,Thane,,,
655429,Landing Page Submission,Google,hiii sir,Unreachable,0,3,3,69,SMS Sent,27-07-2016 5:32,26-07-2016 10:20,Sopara,Finance Management,MAT,Unemployed
655427,API,Google,,Unreachable,0,2,1,252,Email Opened,26-07-2016 11:10,26-07-2016 10:52,Mumbai,,,
655423,Landing Page Submission,Google,Looking for Part time MBA in HRM,Qualified,60,4,4,67,Email Opened,8/8/16 9:24,26-07-2016 10:17,Mumbai,Human Resource Management,MAT,Working Professional
655406,Lead Add Form,Welingak Website,,Qualified,0,0,0,0,SMS Sent,26-07-2016 10:05,,,Select Specialization,MAT,Unemployed
655405,API,Google,,Unreachable,0,2,2,304,Page Visited on Website,8/8/16 8:11,26-07-2016 10:10,Pune,,,
655404,Landing Page Submission,Direct Traffic,,Unreachable,0,4,2,206.33,Email Opened,28-07-2016 12:01,26-07-2016 10:09,Pune,Finance Management,,
655403,API,Google,,Unreachable,0,2,2,901,Email Opened,2/8/16 18:39,26-07-2016 10:22,Mumbai,,,
655382,API,Referral Sites,,Not Interested,0,4,2,23,Olark Chat Conversation,26-07-2016 10:23,26-07-2016 10:19,Elk Grove Village,,,
655379,Landing Page Submission,Google,,Unreachable,0,6,6,333,Email Opened,26-07-2016 12:40,26-07-2016 10:09,Nashik,E-COMMERCE,,
655375,Landing Page Submission,Google,please call me regarding Part time MBA COURSE,Qualified,10,3,3,122.5,SMS Sent,27-07-2016 5:32,26-07-2016 9:57,Kolhapur,Finance Management,MAT,Unemployed
655371,Landing Page Submission,Google,details of the courses offered,Unreachable,0,7,1.75,68.33,Form Submitted on Website,2/8/16 12:26,26-07-2016 9:54,Mumbai,Finance Management,,
655366,API,Google,,Unreachable,0,2,1,0,Olark Chat Conversation,26-07-2016 10:23,26-07-2016 10:19,Ahmedabad,,,
655360,Landing Page Submission,Organic Search,,Unreachable,0,22,5.5,172,Page Visited on Website,28-07-2016 13:35,26-07-2016 9:56,Mumbai,Human Resource Management,MAT,Unemployed
655352,Lead Add Form,Reference,,Closed,0,,,,,,,,Finance Management,MAT,Working Professional
655351,Landing Page Submission,Direct Traffic,,Unreachable,0,7,7,99.83,Email Link Clicked,3/8/16 9:19,26-07-2016 9:37,Delhi,E-COMMERCE,,
655349,Landing Page Submission,Organic Search,,Qualified,90,5,5,53.5,Email Opened,6/8/16 5:33,26-07-2016 9:36,Jodhpur,E-COMMERCE,MAT,Working Professional
655342,Landing Page Submission,Organic Search,,Unreachable,0,5,2.5,456.33,SMS Sent,26-07-2016 12:15,26-07-2016 10:16,,Human Resource Management,,
655338,API,Referral Sites,,Unreachable,0,1,1,0,Converted to Lead,26-07-2016 10:07,26-07-2016 10:07,London,,,
655337,Lead Add Form,Reference,,Qualified,50,0,0,0,Email Opened,30-07-2016 14:27,,,E-Business,MAT,Unemployed
655334,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,29-07-2016 8:52,,,,,
655323,Landing Page Submission,Google,can you share my details about supply chain management course,Unreachable,0,3,3,98,SMS Sent,26-07-2016 12:15,26-07-2016 9:23,Bhiwandi,Supply Chain Management,,
655315,API,Olark Chat,,Junk Lead,0,0,0,0,Olark Chat Conversation,26-07-2016 9:20,,,,,
655287,Landing Page Submission,Direct Traffic,"I am working in a MNC. This is a very good company, but since I am not a MBA, I can not move to the next level.So which course should I think about? I am an Anesthetist and have 16 yrs of hospital experience.",Not Interested,0,2,2,33,Form Submitted on Website,26-07-2016 9:16,26-07-2016 8:59,Bengaluru,Healthcare Management,MAT,Unemployed
655281,API,Olark Chat,,Unreachable,0,0,0,0,Email Opened,8/8/16 13:10,,,,,
655277,API,Referral Sites,,Unreachable,0,3,1.5,307.5,Email Opened,2/8/16 15:43,26-07-2016 10:04,Mumbai,,,
655270,Lead Add Form,Reference,,Closed,0,0,0,0,Email Opened,28-07-2016 11:00,,,Human Resource Management,MAT,Unemployed
655260,Landing Page Submission,Direct Traffic,,Junk Lead,0,2,2,11,SMS Sent,27-07-2016 5:32,26-07-2016 8:40,Accra,Human Resource Management,MAT,Unemployed
655256,API,Olark Chat,,Not Eligible,0,0,0,0,Olark Chat Conversation,26-07-2016 8:42,,,Select Specialization,MAT,Unemployed
